"ID","CUSTRECORD_COUPA_LOCATIONSINCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","LATITUDE","LOCATIONTYPE","LONGITUDE","MAINADDRESS","NAME","PARENT","RETURNADDRESS","SUBSIDIARY","TRANPREFIX","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED"
"483","F","ILP","United States of America : Illinois : Remote - USA, Chicago","F","F","2023-04-05 19:15:03.000 +0000",,,,"3281461","Remote - USA, Chicago","482",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"484","F","ILR","United States of America : Illinois : Remote - USA, Illinois","F","F","2023-04-05 19:15:04.000 +0000",,,,"3281462","Remote - USA, Illinois","482",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"485","T","CHO","United States of America : Illinois : Office - Chicago #2","F","F","2023-04-05 19:15:02.000 +0000",,,,"3281463","Office - Chicago #2","482",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"486","F","Indiana","United States of America : Indiana","F","F","2023-04-05 19:15:04.000 +0000",,,,"3281464","Indiana","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"487","F","INR","United States of America : Indiana : Remote - USA, Indiana","F","F","2023-04-05 19:15:04.000 +0000",,,,"3281465","Remote - USA, Indiana","486",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"488","F","Iowa","United States of America : Iowa","F","F","2023-04-05 19:15:05.000 +0000",,,,"3281466","Iowa","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"489","F","IAR","United States of America : Iowa : Remote - USA, Iowa","F","F","2023-04-05 19:15:05.000 +0000",,,,"3281467","Remote - USA, Iowa","488",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"490","F","Kansas","United States of America : Kansas","F","F","2023-04-05 19:15:05.000 +0000",,,,"3281468","Kansas","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"491","F","KSR","United States of America : Kansas : Remote - USA, Kansas","F","F","2023-04-05 19:15:06.000 +0000",,,,"3281469","Remote - USA, Kansas","490",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"492","F","Kentucky","United States of America : Kentucky","F","F","2023-04-05 19:15:06.000 +0000",,,,"3281470","Kentucky","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"493","F","KYR","United States of America : Kentucky : Remote - USA, Kentucky","F","F","2023-04-05 19:15:07.000 +0000",,,,"3281471","Remote - USA, Kentucky","492",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"494","F","Louisiana","United States of America : Louisiana","F","F","2023-04-05 19:15:07.000 +0000",,,,"3281472","Louisiana","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"495","F","LAR","United States of America : Louisiana : Remote - USA, Louisiana","F","F","2023-04-05 19:15:07.000 +0000",,,,"3281473","Remote - USA, Louisiana","494",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"496","F","Maine","United States of America : Maine","F","F","2023-04-05 19:15:08.000 +0000",,,,"3281474","Maine","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"497","F","MER","United States of America : Maine : Remote - USA, Maine","F","F","2023-04-05 19:15:08.000 +0000",,,,"3281475","Remote - USA, Maine","496",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"498","F","Maryland","United States of America : Maryland","F","F","2023-04-05 19:15:08.000 +0000",,,,"3281476","Maryland","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"499","F","MDRM","United States of America : Maryland : Remote - USA, Maryland","F","F","2023-04-05 19:15:09.000 +0000",,,,"3281477","Remote - USA, Maryland","498",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"500","F","Massachusetts","United States of America : Massachusetts","F","F","2023-04-05 19:15:09.000 +0000",,,,"3281478","Massachusetts","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
"501","F","MAR","United States of America : Massachusetts : Remote - USA, Massachusetts","F","F","2023-04-05 19:15:09.000 +0000",,,,"3281479","Remote - USA, Massachusetts","500",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.893 +0000"
